,id,date,balance,money,category
0,1,2022-01-01,income,500000,allowance
1,2,2022-01-01,income,500000,salary
2,3,2022-01-02,outcome,50000,transportation
3,4,2022-01-03,outcome,5000,food
4,5,2022-01-04,outcome,100000,saving
5,6,2022-01-05,outcome,12900,entertainment
6,7,2022-01-06,outcome,7900,entertainment
7,8,2022-01-07,outcome,12000,food
8,9,2022-01-08,outcome,78000,apparel
9,10,2022-01-09,outcome,45000,food
10,11,2022-01-10,outcome,27000,etc
11,12,2022-01-11,outcome,15000,food
12,13,2022-01-12,outcome,25000,etc
13,14,2022-01-13,outcome,7000,food
14,15,2022-01-14,outcome,5000,food
15,16,2022-01-15,outcome,60000,apparel
16,17,2022-01-16,outcome,15000,etc
17,18,2022-01-17,outcome,46000,transportation
18,19,2022-01-18,outcome,15000,apparel
